Acetylene 90K, FTIR 4 wavenumber FWHM

      Microns         uncorrected reflectance
       1.795067       0.921233
       1.795689       0.919825
       1.796311       0.921560
       1.796934       0.924488
       1.797557       0.925040
       1.798180       0.924586
       1.798804       0.922360
       1.799429       0.925306
       1.800053       0.928449
       1.800679       0.931014
       1.801304       0.933259
       1.801931       0.929088
       1.802557       0.924996
       1.803184       0.924542
       1.803812       0.930341
       1.804439       0.936136
       1.805068       0.932848
       1.805696       0.931250
       1.806326       0.930365
       1.806955       0.930010
       1.807585       0.930348
       1.808216       0.930503
       1.808847       0.934066
       1.809478       0.935191
       1.810110       0.931654
       1.810742       0.930298
       1.811375       0.926929
       1.812008       0.924320
       1.812641       0.924314
       1.813275       0.922758
       1.813910       0.926777
       1.814545       0.924418
       1.815180       0.917520
       1.815816       0.912960
       1.816452       0.910526
       1.817089       0.911636
       1.817726       0.912200
       1.818363       0.909871
       1.819001       0.909638
       1.819640       0.911058
       1.820279       0.914683
       1.820918       0.916051
       1.821558       0.911512
       1.822199       0.906234
       1.822839       0.900507
       1.823480       0.901565
       1.824122       0.906625
       1.824764       0.907933
       1.825406       0.909170
       1.826049       0.908559
       1.826693       0.903891
       1.827337       0.898135
       1.827981       0.896594
       1.828626       0.897529
       1.829271       0.897746
       1.829917       0.896725
       1.830563       0.895151
       1.831210       0.894662
       1.831857       0.897573
       1.832504       0.898811
       1.833152       0.896614
       1.833801       0.893809
       1.834450       0.889289
       1.835099       0.886328
       1.835749       0.883846
       1.836399       0.881549
       1.837050       0.882233
       1.837701       0.878360
       1.838353       0.874190
       1.839005       0.875015
       1.839658       0.879003
       1.840311       0.878878
       1.840964       0.874438
       1.841618       0.871201
       1.842272       0.872285
       1.842927       0.876577
       1.843583       0.875231
       1.844238       0.870975
       1.844895       0.866800
       1.845551       0.868681
       1.846209       0.873931
       1.846867       0.869675
       1.847525       0.860664
       1.848184       0.859957
       1.848843       0.861858
       1.849502       0.861703
       1.850162       0.858369
       1.850823       0.853236
       1.851484       0.849330
       1.852145       0.846615
       1.852807       0.845421
       1.853469       0.842591
       1.854132       0.843500
       1.854796       0.843950
       1.855459       0.838964
       1.856124       0.833634
       1.856789       0.825794
       1.857454       0.816563
       1.858120       0.814292
       1.858786       0.817802
       1.859453       0.816013
       1.860120       0.811011
       1.860788       0.808534
       1.861456       0.804241
       1.862124       0.797237
       1.862794       0.797274
       1.863463       0.802746
       1.864133       0.804682
       1.864804       0.804042
       1.865475       0.800852
       1.866146       0.800160
       1.866818       0.804488
       1.867491       0.806614
       1.868164       0.808329
       1.868837       0.812765
       1.869511       0.815582
       1.870185       0.812094
       1.870860       0.808835
       1.871536       0.808092
       1.872212       0.806580
       1.872888       0.808042
       1.873565       0.809646
       1.874242       0.810690
       1.874920       0.813106
       1.875599       0.815651
       1.876277       0.817671
       1.876957       0.816666
       1.877637       0.812361
       1.878317       0.812533
       1.878998       0.813752
       1.879679       0.811557
       1.880361       0.808094
       1.881043       0.806248
       1.881726       0.807631
       1.882409       0.819280
       1.883093       0.833749
       1.883777       0.837480
       1.884462       0.838100
       1.885147       0.836024
       1.885833       0.834826
       1.886519       0.836314
       1.887206       0.836489
       1.887893       0.837496
       1.888581       0.838693
       1.889269       0.839413
       1.889958       0.839263
       1.890647       0.835808
       1.891337       0.826113
       1.892027       0.808017
       1.892718       0.774858
       1.893409       0.721876
       1.894101       0.649248
       1.894793       0.567343
       1.895486       0.552116
       1.896179       0.626038
       1.896873       0.692983
       1.897568       0.726358
       1.898262       0.753431
       1.898958       0.769842
       1.899654       0.782090
       1.900350       0.792283
       1.901047       0.797788
       1.901744       0.799026
       1.902442       0.800757
       1.903140       0.804077
       1.903839       0.809021
       1.904539       0.811308
       1.905239       0.802555
       1.905939       0.795944
       1.906640       0.798819
       1.907342       0.803985
       1.908044       0.816149
       1.908746       0.828532
       1.909449       0.833636
       1.910153       0.832077
       1.910857       0.832957
       1.911561       0.838038
       1.912266       0.839757
       1.912972       0.840185
       1.913678       0.843295
       1.914385       0.845550
       1.915092       0.843205
       1.915800       0.842596
       1.916508       0.848650
       1.917217       0.852181
       1.917926       0.849077
       1.918636       0.844921
       1.919346       0.842069
       1.920057       0.842998
       1.920768       0.845369
       1.921480       0.845942
       1.922193       0.843564
       1.922906       0.837545
       1.923620       0.831033
       1.924333       0.819092
       1.925048       0.807508
       1.925763       0.796161
       1.926479       0.763733
       1.927195       0.693435
       1.927912       0.607587
       1.928629       0.579348
       1.929346       0.615995
       1.930065       0.609446
       1.930784       0.505346
       1.931503       0.371745
       1.932223       0.388893
       1.932943       0.554425
       1.933664       0.666018
       1.934386       0.712368
       1.935108       0.744146
       1.935830       0.762945
       1.936554       0.773856
       1.937277       0.781856
       1.938002       0.784468
       1.938726       0.782700
       1.939452       0.773097
       1.940177       0.759160
       1.940904       0.769128
       1.941631       0.797206
       1.942358       0.810157
       1.943086       0.810910
       1.943815       0.794557
       1.944544       0.743051
       1.945274       0.723426
       1.946004       0.762503
       1.946735       0.787999
       1.947466       0.800557
       1.948198       0.816309
       1.948930       0.823846
       1.949663       0.824728
       1.950397       0.825719
       1.951131       0.828325
       1.951865       0.830069
       1.952601       0.830272
       1.953336       0.829306
       1.954073       0.825360
       1.954809       0.826557
       1.955547       0.829216
       1.956285       0.826512
       1.957023       0.824423
       1.957762       0.827989
       1.958502       0.827550
       1.959242       0.822893
       1.959983       0.821868
       1.960724       0.823868
       1.961466       0.823304
       1.962208       0.824008
       1.962951       0.827013
       1.963695       0.829113
       1.964439       0.832547
       1.965183       0.828728
       1.965929       0.820032
       1.966674       0.821748
       1.967421       0.829220
       1.968168       0.832663
       1.968915       0.828370
       1.969663       0.821500
       1.970412       0.818170
       1.971161       0.815481
       1.971911       0.812471
       1.972661       0.814114
       1.973413       0.819753
       1.974164       0.822593
       1.974916       0.823880
       1.975669       0.827413
       1.976422       0.830298
       1.977176       0.830427
       1.977930       0.828759
       1.978685       0.827954
       1.979440       0.828297
       1.980196       0.826376
       1.980953       0.822585
       1.981710       0.823306
       1.982468       0.826782
       1.983226       0.827874
       1.983986       0.826786
       1.984745       0.825080
       1.985505       0.824117
       1.986266       0.824293
       1.987027       0.823656
       1.987789       0.822471
       1.988552       0.823241
       1.989315       0.823392
       1.990078       0.822034
       1.990842       0.818968
       1.991607       0.817653
       1.992373       0.818999
       1.993139       0.817286
       1.993905       0.814664
       1.994673       0.813944
       1.995440       0.813197
       1.996209       0.808018
       1.996978       0.804237
       1.997747       0.805770
       1.998517       0.805596
       1.999288       0.804073
       2.000059       0.801039
       2.000831       0.797137
       2.001604       0.797269
       2.002377       0.800217
       2.003151       0.801676
       2.003925       0.800370
       2.004700       0.799932
       2.005476       0.800256
       2.006252       0.801957
       2.007029       0.802706
       2.007806       0.801096
       2.008584       0.797799
       2.009362       0.796208
       2.010141       0.795978
       2.010921       0.795629
       2.011701       0.795788
       2.012482       0.794200
       2.013264       0.793127
       2.014046       0.794527
       2.014829       0.793645
       2.015612       0.790455
       2.016396       0.787342
       2.017180       0.785094
       2.017966       0.784162
       2.018752       0.783574
       2.019538       0.782780
       2.020325       0.780998
       2.021113       0.777742
       2.021901       0.776177
       2.022690       0.778746
       2.023479       0.776948
       2.024270       0.771053
       2.025060       0.767560
       2.025852       0.766059
       2.026644       0.766787
       2.027436       0.766113
       2.028229       0.761952
       2.029023       0.759709
       2.029818       0.761891
       2.030613       0.763412
       2.031409       0.760875
       2.032204       0.758771
       2.033001       0.760254
       2.033799       0.762297
       2.034597       0.759939
       2.035396       0.754237
       2.036195       0.748936
       2.036996       0.745583
       2.037796       0.742882
       2.038598       0.742006
       2.039400       0.742946
       2.040203       0.743020
       2.041006       0.744375
       2.041810       0.746266
       2.042614       0.747211
       2.043419       0.746186
       2.044225       0.745459
       2.045032       0.745333
       2.045839       0.742646
       2.046646       0.740786
       2.047455       0.738953
       2.048264       0.738672
       2.049073       0.740547
       2.049883       0.738220
       2.050694       0.732575
       2.051505       0.730052
       2.052317       0.730188
       2.053130       0.728231
       2.053944       0.724980
       2.054758       0.723186
       2.055573       0.722497
       2.056388       0.722733
       2.057204       0.721729
       2.058021       0.718839
       2.058838       0.717958
       2.059656       0.716446
       2.060475       0.711046
       2.061294       0.710028
       2.062114       0.712083
       2.062935       0.711938
       2.063756       0.708977
       2.064577       0.706729
       2.065400       0.708588
       2.066223       0.708443
       2.067047       0.704544
       2.067871       0.700572
       2.068696       0.697982
       2.069522       0.699683
       2.070349       0.701923
       2.071176       0.701206
       2.072004       0.698699
       2.072833       0.696758
       2.073662       0.697225
       2.074492       0.697703
       2.075322       0.697003
       2.076153       0.696035
       2.076985       0.695656
       2.077817       0.696241
       2.078650       0.697210
       2.079484       0.695205
       2.080319       0.690708
       2.081154       0.689425
       2.081990       0.691237
       2.082826       0.691770
       2.083663       0.691019
       2.084501       0.689362
       2.085340       0.687702
       2.086179       0.689903
       2.087018       0.690373
       2.087859       0.686032
       2.088700       0.681704
       2.089542       0.679626
       2.090385       0.678306
       2.091228       0.677330
       2.092072       0.679332
       2.092917       0.679202
       2.093762       0.677424
